전통주명,도수,규격,주원료,제조사
애피소드호프,3.5,500ml,"사과과즙, 보리, 쌀, 홉",㈜한국애플리즈
애피소드 상그리아,3.5,500ml,"포도와인, 정제주정, 정제수, 포도농축액, 고과당",㈜한국애플리즈
애피소드 애플,3.5,500ml,사과,㈜한국애플리즈
심술 알쓰,3.8,180ml,복분자,배상면주가
아이싱 자몽,4,"350ml, 300ml","쌀, 자몽엑기스",국순당
메로니아,4,750ml,"국내산 쌀, 물엿, 합성착향료(메론향), 효모, 국, 혼합제제, 아스파탐, 젖산, 합성 향료(밀크향), 효소처리스테비아, 멜론농축액",배혜정도가
바나나 주,4,750ml,"쌀, 국, 정제수, 바나나 농축액, 조제종국, 효모, 물엿",조은술 세종
메로니아,4,750ml,"쌀, 국, 효모, 젖산, 멜론 향, 물엿 등",배혜정도가
광양 생 막걸리 골드,5,750ml,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",광양주조공사
광양 생 막걸리,5,750ml,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소",광양주조공사
인생막걸리,5,750ml,"정제수,팽화미,팽화밀가루,말토올리고당,국,혼합제제효모,아스파탐,아세설팜칼륨",서울장수(주)
지평 이랑이랑,5,750ml,"정제수, 쌀, 자일리톨, 국, 효모, 레몬농축액, 허브류",지평주조
1000억 유산균 막걸리,5,750ml,"국내산쌀, 누룩",국순당
오목대,5,"1,000ml","보리(국내산), 맥아(국내산), 말토텍스트린, 호프펠렛, 효모, 정제효소제, 정제수",농업회사법인 동문거리양조장(주)
경기전,5,1000ml,"국내산 보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수",전주술로시티
SSOA-포도,5,355ml,국내산 포도,㈜포천조술당
지평 생 옛막걸리,5,"1,700ml","밀, 정제수, 국, 분말종국, 효모, 정제효소 등",지평주조
지평 생 쌀막걸리,5,"700ml, 1,700ml","쌀(국내산), 정제수, 국, 효모, 정제효소 등",지평주조
은자골 생 탁배기,5,750ml,국내산 쌀,은척양조장
유자생막걸리,5,750ml,"경기미 75%, 유자 국내산20% , 맥아당 5%",배혜정도가
시나브로 에뚜왈 로제 스파클링,5,750ml,포도(캠벨얼리),불휘농장
편백숲 산소막걸리,5.2,750ml,"쌀, 사과농축액,누룩,올리고당,아스파탐",청산녹수
편백숲 산소막걸리 순수령,5.8,750ml,"찹쌀, 맵쌀, 누룩",청산녹수
대잎 생동동주 (단종),6,1700ml,"국내산 쌀, 좁쌀, 정제효소, 젖산, 효모, 아스파탐, 영지, 생각, 정제수",죽향도가
